deliverer_id,delivery_zone,monthly_apply_range,subscripcion_type,paid_price,customer_size,menu,delay_time
51,I,24,FreePrepaid,11.500450183287,3,French,8.280387855088883
30,II,18,Yearly,21.32796895770813,4,Italian,9.763171014487694
21,III,7,Yearly,29.218117188906277,3,Indian,10.26028134216092
69,VIII,11,Semestral,37.17617816334734,4,Japanese,9.488031430832912
53,I,16,Monthly,27.635180782049055,1,Italian,9.546180992591172
9,VIII,13,Semestral,51.19759193738217,3,French,13.434282636309195
91,VI,18,Trimestral,20.65125209598049,5,French,15.772128349152357
85,I,12,Semestral,35.25880703312147,3,Japanese,12.62227195612065
43,IV,14,Yearly,32.90919081044234,2,Italian,9.3482248043919
3,II,17,Yearly,33.646566772531635,2,Asian,14.65380394161826
41,VIII,17,FreePrepaid,-1.3659244756393143,3,Asian,6.259802371666398
97,II,8,Yearly,25.486655125218178,2,Indian,10.072154265940291
31,II,9,Semestral,28.405049861243306,4,Italian,10.134911020248515
76,I,15,Trimestral,36.82684703737236,5,French,11.236170938952512
10,III,13,FreePrepaid,13.64350709166703,2,French,9.379204064681563
41,VI,13,Trimestral,41.45553600260966,2,Japanese,9.738691683397647
59,V,13,Semestral,17.461541475408758,3,Japanese,6.813698890797056
12,VIII,13,Monthly,1.8175452332508293,2,French,6.355184040374855
39,VI,9,Trimestral,30.118914343420606,2,French,8.7524461153506
29,VIII,17,Trimestral,12.403864668964326,3,Italian,12.248756569250572
12,IV,12,Monthly,40.777600059327824,7,Asian,8.73255201463412
56,II,14,Semestral,17.64431528979543,3,Mexican,11.383474746901905
41,V,17,Semestral,23.826481547480853,1,Japanese,6.575092333313988
91,III,19,Trimestral,17.506475966935547,4,Italian,9.440710147310003
92,VIII,18,Semestral,42.8907832978182,4,Italian,10.890021023065257
32,II,8,FreePrepaid,15.120772291054315,1,French,10.284668378478047
74,IV,15,FreePrepaid,12.86962289891822,4,Italian,4.354360510177095
28,II,16,Monthly,28.356045715500212,2,Indian,8.741848537547941
99,IV,14,FreePrepaid,26.10222453741026,3,French,7.892311137324249
